date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Tamires Vidal,Ramona Pascual,KO/TKO,186,3,1,0,17,13,29,14,22,17,34,18,0,0,1,0,0,0,0,0,56,23
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",0,Chase Sherman,Waldo Cortes-Acosta,Decision - Unanimous,900,3,0,0,66,147,177,278,73,149,187,282,1,0,2,0,0,0,0,0,94,13
"November 19, 2022",UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",1,Kennedy Nzechukwu,Ion Cutelaba,KO/TKO,362,3,1,0,24,9,42,26,24,30,42,57,0,2,1,8,0,0,0,0,74,212
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Tagir Ulanbekov,Nate Maness,Submission,131,3,0,0,4,4,9,10,9,23,14,30,1,0,2,0,1,0,0,0,94,0
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Mario Bautista,Benito Lopez,Submission,294,3,0,0,44,17,67,25,49,17,72,25,1,0,1,0,3,0,0,0,156,0
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Grant Dawson,Mark Madsen,Submission,725,3,1,0,33,15,49,30,73,50,96,70,2,0,6,0,2,0,0,0,571,24
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",0,Marina Rodriguez,Amanda Lemos,KO/TKO,654,5,0,0,19,29,52,53,44,43,78,67,0,1,0,2,0,1,0,0,15,186
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Miranda Maverick,Shanna Young,Decision - Unanimous,900,3,0,0,63,29,108,82,172,29,240,82,5,0,8,0,1,0,0,0,554,0
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",1,Neil Magny,Daniel Rodriguez,Submission,813,3,0,0,57,66,109,108,106,71,169,113,5,0,7,1,1,0,0,0,248,76
"December 10, 2022",UFC 282: Blachowicz vs. Ankalaev,"Las Vegas, Nevada, USA",1,Jairzinho Rozenstruik,Chris Daukaus,KO/TKO,23,3,1,0,12,1,21,1,12,1,21,1,0,0,0,0,0,0,0,0,6,0
"November 05, 2022",UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",0,Darrick Minner,Shayilan Nuerdanbieke,KO/TKO,67,3,0,1,5,19,5,36,5,32,5,50,0,0,0,0,0,0,0,0,0,33
